num,fips,date_range_start,weighted_average
25,06023,2020-06-06,9599.680648832393
26,06023,2020-06-13,9773.57529949594
27,06023,2020-06-20,10480.366589430634
28,06023,2020-06-27,10766.924910256816
29,06023,2020-07-04,11176.428922412686
30,06023,2020-07-11,10552.952931479771
31,06023,2020-07-18,10778.86924466436
32,06023,2020-07-25,11161.248471692279
33,06023,2020-08-01,10354.972566779932
34,06023,2020-08-08,10598.060191797746
35,06023,2020-08-15,10672.138589123153
36,06023,2020-08-22,10355.168267795472
37,06023,2020-08-29,10147.247206154312
38,06023,2020-09-05,10133.163673381921
39,06023,2020-09-12,9503.36536146326
40,06023,2020-09-19,10037.038829953213
41,06023,2020-09-26,10474.680231005412
42,06023,2020-10-03,9982.530203804792
43,06023,2020-10-10,9961.809350119393
44,06023,2020-10-17,10107.890285619416
45,06023,2020-10-24,10036.803650814336
46,06023,2020-10-31,10059.679150681317
47,06023,2020-11-08,9611.056847165612
1,06025,2019-12-21,9812.491412918667
2,06025,2019-12-28,9936.296919168928
3,06025,2020-01-04,10056.865902337648
4,06025,2020-01-11,10265.657832118633
5,06025,2020-01-18,10952.871554385287
6,06025,2020-01-25,10855.166148841972
7,06025,2020-02-01,10224.794124713235
8,06025,2020-02-08,10609.352594767839
9,06025,2020-02-15,11348.694231784606
10,06025,2020-02-22,11169.451116142916
11,06025,2020-02-29,10773.055196478233
12,06025,2020-03-07,10286.39278010197
13,06025,2020-03-14,9504.973380920823
14,06025,2020-03-21,8671.256134210835
15,06025,2020-03-28,8433.630816654506
16,06025,2020-04-04,7453.615805440139
17,06025,2020-04-11,8054.170264363144
18,06025,2020-04-18,8751.969118862184
19,06025,2020-04-25,8987.224843244487
20,06025,2020-05-02,8487.495216292245
21,06025,2020-05-09,8953.026468069102
22,06025,2020-05-16,9344.629083840318
23,06025,2020-05-23,9703.252394368612
24,06025,2020-05-30,9649.480034612987
25,06025,2020-06-06,9896.038017110619
26,06025,2020-06-13,9386.714297430315
27,06025,2020-06-20,9651.13573039528
28,06025,2020-06-27,9508.065926898058
29,06025,2020-07-04,9646.562032149142
30,06025,2020-07-11,9697.290007582193
31,06025,2020-07-18,9950.08465399153
32,06025,2020-07-25,10515.696477758473
33,06025,2020-08-01,10068.801112833647
34,06025,2020-08-08,10086.847681606123
35,06025,2020-08-15,9804.273556151516
36,06025,2020-08-22,9550.82119822622
37,06025,2020-08-29,9603.362050182877
38,06025,2020-09-05,9664.089472995674
39,06025,2020-09-12,9314.120593224636
40,06025,2020-09-19,9367.136762710436
41,06025,2020-09-26,9634.318159601176
42,06025,2020-10-03,9023.447849122702
43,06025,2020-10-10,9523.263383844196
44,06025,2020-10-17,9161.23366833149
45,06025,2020-10-24,9178.510301126069
46,06025,2020-10-31,9390.414838969386
47,06025,2020-11-08,8898.767408047244
1,06027,2019-12-21,12045.163405567904
2,06027,2019-12-28,12272.491171525977
3,06027,2020-01-04,12394.478403654219
4,06027,2020-01-11,12194.885600485348
5,06027,2020-01-18,13327.863762128472
6,06027,2020-01-25,13370.345318625385
7,06027,2020-02-01,11902.047541113365
8,06027,2020-02-08,13445.89838895394
9,06027,2020-02-15,13969.061956616235
10,06027,2020-02-22,13681.837365222813
11,06027,2020-02-29,13801.185628876889
12,06027,2020-03-07,12496.985900086134
13,06027,2020-03-14,11063.90958565969
14,06027,2020-03-21,10264.065705689825
15,06027,2020-03-28,9687.942753198779
16,06027,2020-04-04,8072.18992026776
17,06027,2020-04-11,9250.235180144666
18,06027,2020-04-18,10098.469803217815
19,06027,2020-04-25,10451.104817587302
20,06027,2020-05-02,10002.26838419154
21,06027,2020-05-09,10828.559696748523
22,06027,2020-05-16,11321.75723198663
23,06027,2020-05-23,11894.320781872153
24,06027,2020-05-30,12101.170903289507
25,06027,2020-06-06,12252.105303784552
26,06027,2020-06-13,12137.867299156183
27,06027,2020-06-20,13054.534335395738
28,06027,2020-06-27,12170.084908185294
29,06027,2020-07-04,12651.224999870878
30,06027,2020-07-11,12041.949063648393
31,06027,2020-07-18,13334.804627431264
32,06027,2020-07-25,13533.329909510438
33,06027,2020-08-01,12166.234086444825
34,06027,2020-08-08,12745.878997003301
35,06027,2020-08-15,12441.588598165086
36,06027,2020-08-22,12386.999359768555
37,06027,2020-08-29,12453.873801068063
38,06027,2020-09-05,11741.557275276704
39,06027,2020-09-12,11881.849142293751
40,06027,2020-09-19,12817.306020557131
41,06027,2020-09-26,12712.864498289153
42,06027,2020-10-03,12070.718845044814
43,06027,2020-10-10,13173.877753600274
44,06027,2020-10-17,11917.781792090449
45,06027,2020-10-24,12486.568593948472
46,06027,2020-10-31,12647.97127166752
47,06027,2020-11-08,12066.024015758916
1,06029,2019-12-21,9500.350556222375
2,06029,2019-12-28,10167.404507436913
3,06029,2020-01-04,9836.128833899567
4,06029,2020-01-11,10026.479140910078
5,06029,2020-01-18,10596.116694235207
6,06029,2020-01-25,10363.910841391777
7,06029,2020-02-01,9898.271592650828
8,06029,2020-02-08,10393.085971539753
9,06029,2020-02-15,11122.404335353425
10,06029,2020-02-22,10581.382801688309
11,06029,2020-02-29,10419.353896371835
12,06029,2020-03-07,10052.290573509876
13,06029,2020-03-14,8750.923424927401
14,06029,2020-03-21,7796.920496735098
15,06029,2020-03-28,7223.505314461169
16,06029,2020-04-04,6213.337872569108
17,06029,2020-04-11,6879.16853633558
18,06029,2020-04-18,7479.814352714289
19,06029,2020-04-25,7938.11775477084
20,06029,2020-05-02,7889.188085384578
21,06029,2020-05-09,8638.453706379076
22,06029,2020-05-16,8664.221106853234
23,06029,2020-05-23,9240.189228285837
24,06029,2020-05-30,9546.351025056734
25,06029,2020-06-06,9892.413811446897
26,06029,2020-06-13,9619.25963308954
27,06029,2020-06-20,9829.403065519718
28,06029,2020-06-27,9629.886714299988
29,06029,2020-07-04,9501.452285499536
30,06029,2020-07-11,9707.282010739074
31,06029,2020-07-18,9799.831296759483
